target_name,repeat,split_seed,model,bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,5,769,1,0.004704249918410914,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0037706786515355126,0.005953793633096673
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,6,769,1,0.007684597325098668,0.0013003901170351106,0.0002295876800841234,0.007328830355107483,0.0059595212631727,0.010213315989356814
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,7,770,1,0.012838339680808825,0.0012987012987012987,0.00022928946639889794,0.007319361170123334,0.01021443245946874,0.018944707532916938
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,8,769,2,0.06709103094847316,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.018954148327226274,0.09548531567901197
NONFIBROTIC ILD ADJUDICATED,22,436760030,genomic,9,770,2,0.20998241846945917,0.0025974025974025974,0.0007125907061236786,0.009420568652699277,0.0955971989779872,0.4184761909551143
NONFIBROTIC ILD ADJUDICATED,22,436760030,combined,0,770,0,0.0002925049118391063,0.0,0.0,0.004964141914221508,9.78107725015372e-05,0.00040885103728060244
NONFIBROTIC ILD ADJUDICATED,22,436760030,combined,1,769,0,0.0005235201311180713,0.0,0.0,0.004970565148712315,0.00040918140623597227,0.0006479943830752732
NONFIBROTIC ILD ADJUDICATED,22,436760030,combined,2,770,3,0.0008259618834721892,0.003896103896103896,0.0013258926936253902,0.011391775387498288,0.0006481693591295064,0.001037635942133312
NONFIBROTIC ILD ADJUDICATED,22,436760030,combined,3,769,2,0.0012748065293824678,0.002600780234070221,0.0007135177289523901,0.009432753192718508,0.0010377175619691575,0.0015751517331549889
NONFIBROTIC ILD ADJUDICATED,22,436760030,combined,4,770,0,0.002105048183251361,0.0,0.0,0.004964141914221508,0.0015763072391661887,0.0027863136371407333
